Date,Open,High,Low,Close,Volume,Adj Close
07-11-2014,85.08,85.22,82.67,83.33,1546000,77.602
10-11-2014,83.16,84.25,82.63,83.91,1139400,78.142
11-11-2014,83.72,84.58,83.32,84.31,1275800,78.515
12-11-2014,83.8,84.07,82.23,82.71,1640600,77.025
13-11-2014,83.06,83.76,82.3,82.72,1411300,77.034
14-11-2014,83,83.51,82.05,83.06,1318300,77.351
17-11-2014,82.16,83.7,81.73,83.46,1217600,77.723
18-11-2014,83.5,84.61,83.16,84.43,1232400,78.626
19-11-2014,84.4,85.33,83.8,84.75,1206600,78.924
20-11-2014,85,85.07,84.03,84.9,1094300,79.064
21-11-2014,85.4,88.42,85.32,88.16,3609200,82.1
24-11-2014,88.19,90.11,87.84,89.4,1704800,83.255
25-11-2014,89.78,90.6,89.5,90.35,1658000,84.14
26-11-2014,90.4,90.97,89.7,90.48,1161400,84.261
27-11-2014,90.73,91.59,90.16,91.49,1174100,85.201
28-11-2014,91.49,91.95,91.11,91.95,1057700,85.63
01-12-2014,91.1,92.23,90.75,92.23,1390900,85.89
02-12-2014,92.5,92.99,91.32,91.81,1475900,85.499
03-12-2014,91.55,91.99,90.25,91.25,1618500,84.978
04-12-2014,91.22,92.65,89.59,89.87,2128900,83.693
05-12-2014,90.7,92.49,90.1,92.35,1791000,86.002
08-12-2014,92.11,92.37,91.52,91.6,777800,85.304
09-12-2014,90.06,91.17,88.9,88.9,1861300,82.789
10-12-2014,89.7,90.55,89.29,89.79,1308700,83.618
11-12-2014,89.81,90.85,89.41,90.31,1414800,84.102
12-12-2014,89.7,89.95,87.85,87.98,1313400,81.932
15-12-2014,87.76,88.85,85.01,85.01,1724800,79.167
16-12-2014,85.36,88.06,83.26,88.06,3185400,82.007
17-12-2014,86.76,88.04,86.56,87.5,1489200,81.485
18-12-2014,89,90.33,88.5,90.33,1784100,84.121
19-12-2014,91,91.4,88.64,89.94,2719400,83.758
22-12-2014,90.47,90.95,89.6,90.02,848000,83.832
23-12-2014,90.19,90.83,89.74,90.83,786700,84.587
24-12-2014,90.83,90.83,90.83,90.83,0,84.587
25-12-2014,90.83,90.83,90.83,90.83,0,84.587
26-12-2014,90.83,90.83,90.83,90.83,0,84.587
29-12-2014,90.8,91.07,89.06,91.01,759800,84.754
30-12-2014,90.7,90.79,89.6,89.77,599900,83.599
31-12-2014,89.77,89.77,89.77,89.77,0,83.599
01-01-2015,89.77,89.77,89.77,89.77,0,83.599
02-01-2015,88.6,89.59,87.38,88.01,1532800,81.96
05-01-2015,87.18,87.23,84.55,85.08,2308100,79.232
06-01-2015,85.8,87.12,84.55,85.83,1841500,79.93
07-01-2015,86.4,87.05,85.27,86.29,1239300,80.359
08-01-2015,87.52,89.87,86.88,89.39,1837500,83.246
09-01-2015,89,90.05,87.48,88.16,1976700,82.1
12-01-2015,88,89.17,87.13,88.65,1932400,82.556
13-01-2015,88.65,91.35,88.59,90.63,1693700,84.4
14-01-2015,89,90.48,88.57,88.78,2081100,82.677
15-01-2015,89.68,91.29,86.88,91.07,2373000,84.81
16-01-2015,90.7,94,90.32,93.59,2767600,87.157
19-01-2015,94.05,95.11,93.35,94.22,1510500,87.744
20-01-2015,94.45,95.41,94.33,94.74,1851200,88.228
21-01-2015,94.49,95.25,93.66,94.92,2118700,88.395
22-01-2015,95.33,98.53,95.08,98.04,3261000,91.301
23-01-2015,99.27,103.3,99.16,102.8,3804900,95.734
26-01-2015,102.4,105.55,102.25,105.25,2068600,98.015
27-01-2015,103.05,104.65,101.25,102,2657300,94.989
28-01-2015,103,103.65,101.35,103.1,1465500,96.013
29-01-2015,102.2,103.25,101.2,102.95,1402000,95.873
30-01-2015,103.9,104,102.45,103.4,1644000,96.292
02-02-2015,103.65,104.65,102.75,104.25,1109500,97.084
03-02-2015,105.05,108.15,104.5,106.3,1987800,98.993
04-02-2015,105.8,106.65,104.65,106.65,1334000,99.319
05-02-2015,105.85,108.35,105.6,106.65,1389000,99.319
06-02-2015,106.75,107.2,105.8,106.85,943300,99.505
09-02-2015,105.5,105.75,101.45,102.5,1964700,95.454
10-02-2015,102.75,105.6,102.45,104.7,1595600,97.503
11-02-2015,104.65,105,103.4,104.45,859000,97.27
12-02-2015,104.75,107.5,104.75,106.7,1288500,99.366
13-02-2015,107.75,107.95,106.9,107.8,1154300,100.39
16-02-2015,107.15,107.45,106.1,106.6,726500,99.273
17-02-2015,106.15,106.95,104.4,106.75,989400,99.412
18-02-2015,107.5,108.75,107.25,108.75,952700,101.275
19-02-2015,108.35,109.65,107.85,109.45,1029500,101.927
20-02-2015,109.45,111.2,109,111.1,2282100,103.463
23-02-2015,112.45,112.95,110.9,111.65,1213300,103.975
24-02-2015,111.4,111.7,109.6,110.65,1396300,103.044
25-02-2015,110.8,111,109.1,109.65,1316700,102.113
26-02-2015,109.7,112.05,109.65,112,1319500,104.301
27-02-2015,111.9,113,110.45,113,1761200,105.233
02-03-2015,113.5,114.85,112.7,114.2,1501800,106.35
03-03-2015,114.2,114.75,110.95,111,1388500,103.37
04-03-2015,111.9,113.2,110.6,113,1947400,105.233
05-03-2015,114.05,114.7,113.15,114.5,1341300,106.629
06-03-2015,114.95,116.3,114.35,115.3,1314900,107.375
09-03-2015,115,115.2,114,114.35,1375600,106.49
10-03-2015,114.35,114.95,112.25,113.7,1559700,105.884
11-03-2015,113.8,119.65,113.8,119.35,2282100,111.146
12-03-2015,119.2,119.25,116.35,118.55,2214700,110.401
13-03-2015,119.7,120.1,117.2,119.95,1479400,111.705
16-03-2015,120.5,123.4,120.35,122.6,2002700,114.173
17-03-2015,123.3,123.75,120.1,121,2158300,112.683
18-03-2015,121.25,121.7,113.7,115.9,4162200,107.933
19-03-2015,115.35,117.05,114.2,116.6,2544700,108.585
20-03-2015,116.9,118.35,116.1,116.75,2984600,108.725
23-03-2015,116.7,116.7,113.4,113.75,1697200,105.931
24-03-2015,112.8,115.6,111.8,115.1,1938000,107.188
25-03-2015,115.9,116.95,113.85,114.15,1580400,106.304
26-03-2015,112.85,116.45,110.55,116.45,2379100,108.445
27-03-2015,117.1,118.85,114.9,116.1,1870300,108.12
30-03-2015,117.1,118.55,116.7,118,1198800,109.889
31-03-2015,117,117.6,114.9,116.45,1922600,108.445
01-04-2015,115.5,117.6,114.9,115.5,1663400,107.561
02-04-2015,115.7,116.55,114.25,114.95,1107000,107.049
03-04-2015,114.95,114.95,114.95,114.95,0,107.049
06-04-2015,114.95,114.95,114.95,114.95,0,107.049
07-04-2015,116.3,116.3,113.85,114.9,1567500,107.002
08-04-2015,114,114.2,111.8,113.25,1938100,105.465
09-04-2015,115.15,116.2,114,116.2,1616300,108.213
10-04-2015,116.9,117.85,116,117.35,1481200,109.284
13-04-2015,117.25,117.9,116.15,116.25,1295400,108.259
