Date,Open,High,Low,Close,Volume,Adj Close
07-11-2014,63.42,63.5,61.85,62.36,3578100,57.511
10-11-2014,62.1,62.9,61.71,62.87,2231000,57.981
11-11-2014,62.72,62.97,61.86,62.41,2700500,57.557
12-11-2014,62.15,62.35,60.8,61,3858200,56.256
13-11-2014,61.28,61.77,60.56,61.16,2388900,56.404
14-11-2014,61.37,61.37,60.46,61.12,2857200,56.367
17-11-2014,60.4,61.5,60.23,61.36,2765700,56.588
18-11-2014,61.7,62.72,61.52,62.55,3157900,57.686
19-11-2014,62.5,63.02,62.14,62.74,2455700,57.861
20-11-2014,62.98,62.98,61.97,62.91,2884200,58.018
21-11-2014,63.2,64.61,62.93,64.56,7326800,59.54
24-11-2014,64.62,65.93,64.05,65.39,3839800,60.305
25-11-2014,65.38,66.42,65.16,66.21,3972100,61.061
26-11-2014,66.45,66.72,66.06,66.39,3164100,61.227
27-11-2014,66.45,67.15,66.35,67.11,2610100,61.891
28-11-2014,67.19,67.8,67.02,67.8,3429200,62.528
01-12-2014,67.2,68.1,66.92,67.98,2793900,62.694
02-12-2014,68.04,68.43,67.18,67.84,2794900,62.565
03-12-2014,68.1,68.46,67.66,68.21,2884900,62.906
04-12-2014,68.5,69.95,67.44,67.57,5799300,62.316
05-12-2014,68.2,70,68.07,70,4743800,64.557
08-12-2014,69.59,70.2,69.06,69.06,2464600,63.69
09-12-2014,68.14,69.57,67.8,67.97,4552700,62.684
10-12-2014,68.25,68.87,67.64,68.04,3161600,62.749
11-12-2014,68.02,68.82,67.75,68.31,4863800,62.998
12-12-2014,67.85,68.05,66.46,66.58,3806500,61.402
15-12-2014,66.46,67.36,64.58,64.58,4923300,59.558
16-12-2014,65.16,67.18,64.13,67.14,8118200,61.919
17-12-2014,66.33,67.58,65.99,67.17,4098500,61.947
18-12-2014,68.12,68.96,67.88,68.96,6154700,63.597
19-12-2014,69.28,69.88,68.18,69.04,8108100,63.671
22-12-2014,69.61,70,69.1,69.41,3177000,64.012
23-12-2014,69.56,70.06,69.24,70.06,2159400,64.612
24-12-2014,70.06,70.06,70.06,70.06,0,64.612
25-12-2014,70.06,70.06,70.06,70.06,0,64.612
26-12-2014,70.06,70.06,70.06,70.06,0,64.612
29-12-2014,69.79,70.06,68.54,70.04,2005400,64.593
30-12-2014,69.69,69.87,68.97,68.97,1462700,63.607
31-12-2014,68.97,68.97,68.97,68.97,0,63.607
01-01-2015,68.97,68.97,68.97,68.97,0,63.607
02-01-2015,69.6,70,68.16,68.75,2778600,63.404
05-01-2015,68.26,68.85,65.98,66.17,4527100,61.024
06-01-2015,66.4,68.04,65.57,66.61,4331100,61.43
07-01-2015,67.25,68.15,66.76,67.13,3394000,61.91
08-01-2015,68.22,70.16,67.81,70.07,5009900,64.621
09-01-2015,69.58,71.05,69.01,69.42,5369100,64.022
12-01-2015,69.8,71.26,69.39,71,4414600,65.479
13-01-2015,70.81,72.85,70.76,72.27,4815800,66.65
14-01-2015,71.1,72.7,70.89,71.3,4859100,65.755
15-01-2015,72.2,73.33,70.03,72.93,6176400,67.259
16-01-2015,72.64,74.7,72.4,74.38,6322100,68.596
19-01-2015,74.95,75.47,74.44,74.73,3745900,68.919
20-01-2015,74.99,75.45,74.16,74.93,4585100,69.103
21-01-2015,74.93,75.37,73.9,74.92,5887400,69.094
22-01-2015,75,77.71,74.43,77.27,7085000,71.261
23-01-2015,77.75,80.33,77.72,79.66,9144400,73.465
26-01-2015,79.17,81.3,79.15,81.05,4786600,74.747
27-01-2015,80.35,81,78.27,78.63,6137100,72.515
28-01-2015,79.5,79.96,78.65,79.91,4468500,73.696
29-01-2015,79.38,80.54,78.72,80.29,4003200,74.046
30-01-2015,80.99,80.99,79.74,80.48,4827800,74.222
02-02-2015,80.66,81.33,80.01,81.21,4078000,74.895
03-02-2015,81.7,83.85,81.41,82.15,6076300,75.762
04-02-2015,82.5,82.87,81.23,82.63,4469500,76.204
05-02-2015,81.7,84.69,81.3,82.78,6021000,76.343
06-02-2015,82.95,83,81.85,82.35,3390800,75.946
09-02-2015,81.81,81.81,79.78,80.64,5008500,74.369
10-02-2015,80.69,82.41,80.26,82.16,4173100,75.771
11-02-2015,82.5,82.65,81.77,82.44,2436800,76.029
12-02-2015,82.7,83.86,82.41,83.14,4445500,76.675
13-02-2015,83.5,83.98,82.78,83.19,3971100,76.721
16-02-2015,82.75,83.22,82.55,82.83,1738200,76.389
17-02-2015,82.1,82.98,81.32,82.44,2947700,76.029
18-02-2015,83.21,83.69,82.74,83.63,2518500,77.127
19-02-2015,83.21,84.22,82.68,84.08,3249400,77.542
20-02-2015,83.81,85.29,83.68,84.78,6490300,78.187
23-02-2015,85.62,85.74,84.55,84.97,2633800,78.362
24-02-2015,85,85.41,84.06,85.22,2945700,78.593
25-02-2015,85.51,85.65,84.35,85.02,3359200,78.409
26-02-2015,85.04,85.59,84.45,85.55,2991600,78.897
27-02-2015,85.45,86.51,85.27,86.51,4452500,79.783
02-03-2015,86.79,87.06,86.13,86.67,3301500,79.93
03-03-2015,86.7,87.37,85.55,85.6,3098800,78.943
04-03-2015,86.12,87.99,85.64,87.99,3847800,81.148
05-03-2015,88.38,89.51,88.26,89.15,3985300,82.217
06-03-2015,89.5,90.51,88.94,89.92,3327600,82.927
09-03-2015,89.67,90.24,89.08,90.14,2744700,83.13
10-03-2015,90.06,90.29,88.11,88.7,4199900,81.802
11-03-2015,89.67,92.12,89.37,92.07,4660900,84.91
12-03-2015,92.29,93.13,91.77,92.65,4117100,85.445
13-03-2015,93.36,93.44,91.59,93.1,3655200,85.86
16-03-2015,93.4,96.07,93.27,95.79,4812800,88.341
17-03-2015,94.92,95.5,91.31,91.71,6965400,84.578
18-03-2015,92.12,92.51,88.74,89.91,6826700,82.918
19-03-2015,89.96,90.81,89.02,90.25,5117900,83.232
20-03-2015,90.66,91.94,90.29,91.51,8552900,84.394
23-03-2015,91.4,91.41,88.49,88.7,4890600,81.802
24-03-2015,88.3,89.21,86.7,88.43,7463500,81.553
25-03-2015,88.55,89.8,87.42,87.6,4489900,80.788
26-03-2015,86.25,88.72,84.65,88.72,6811200,81.821
27-03-2015,89.76,90.54,87.72,88.47,4761500,81.59
30-03-2015,89.28,90.88,89.08,90.86,3897200,83.794
31-03-2015,90.85,90.86,88.87,89.73,4953200,82.752
01-04-2015,89.7,90.57,88.68,90.15,7236700,83.14
02-04-2015,87.97,88.34,87.32,87.7,4286300,83.14
03-04-2015,87.7,87.7,87.7,87.7,0,83.14
06-04-2015,87.7,87.7,87.7,87.7,0,83.14
07-04-2015,88.37,88.54,86.55,87.09,4339300,82.561
08-04-2015,86.17,86.38,85.39,85.93,4201000,81.462
09-04-2015,86.26,87.29,85.94,87.29,3637200,82.751
10-04-2015,87.89,89.04,87.3,88.65,3812000,84.04
13-04-2015,88.49,89.18,88.01,88.17,2567100,83.585
14-04-2015,87.76,88.16,86.44,86.93,3511500,82.41
15-04-2015,87.17,88.14,86.98,87.35,3131300,82.808
16-04-2015,88,88.2,86.77,86.85,3862800,82.334
17-04-2015,86.56,87.6,84.65,84.81,5694700,80.4
20-04-2015,85.33,86.81,85.01,86.62,3404600,82.116
21-04-2015,87.52,88.6,87.23,87.28,4434200,82.741
22-04-2015,88.24,89.09,86.53,87.49,4214200,82.941
23-04-2015,87.93,88.5,85.78,86.19,4341900,81.708
24-04-2015,87.11,88.14,85.95,87.16,3305400,82.628
27-04-2015,88.15,89.9,87.31,89.55,5486900,84.893
28-04-2015,92.1,92.7,88.18,88.93,6517100,84.306
29-04-2015,90.2,90.5,85.98,86.14,5764100,81.661
30-04-2015,86.27,87.31,84.74,86.33,5243600,81.841
01-05-2015,86.33,86.33,86.33,86.33,0,81.841
04-05-2015,87.07,88.09,86.15,87.55,3022400,82.997
05-05-2015,87.18,88.97,85.12,85.25,4695900,80.817
06-05-2015,85.7,86.38,83,84.67,5161200,80.267
07-05-2015,84.25,85.57,83.32,85.25,4252600,80.817
08-05-2015,86.14,88.07,85.26,88.07,4206400,83.49
11-05-2015,88.22,88.22,87.15,88.06,2393700,83.481
12-05-2015,87,87.07,84.92,85.68,3940600,81.225
13-05-2015,85.93,86.65,83.94,84.36,3540100,79.973
14-05-2015,83.8,86.71,83.08,86.57,3072900,82.068
15-05-2015,87.06,87.21,84.62,85.03,4530200,80.608
18-05-2015,85,86.73,84.67,86.47,2999000,81.974
19-05-2015,87.5,89.62,87.5,89.37,5798000,84.723
20-05-2015,89.4,90,88.97,89.71,2740300,85.045
21-05-2015,89.6,90.05,88.84,89.97,2399000,85.292
22-05-2015,89.73,90.22,89.13,89.7,2455600,85.036
25-05-2015,89.7,89.7,89.7,89.7,0,85.036
26-05-2015,90,91,87.96,88.46,3741300,83.86
27-05-2015,88.45,89.57,87.71,89.21,3561400,84.571
28-05-2015,88.39,88.87,86.83,87.58,3269800,83.026
29-05-2015,87.8,87.98,85.24,85.28,4485600,80.845
01-06-2015,86.2,86.81,85.08,85.74,3255900,81.282
02-06-2015,86.16,86.16,83.3,83.66,4649500,79.31
03-06-2015,83.88,84.67,83.1,83.8,4555800,79.442
04-06-2015,83.31,83.37,81.34,82.94,4739600,78.627
05-06-2015,82.05,82.6,81.11,81.85,3920500,77.594
