Date,Open,High,Low,Close,Volume,Adj Close
07-11-2014,174.7,174.7,170.3,171.15,978600,163.58
10-11-2014,170.9,172.7,169.4,172.05,571800,164.44
11-11-2014,172,172.35,170.35,171.6,676500,164.01
12-11-2014,171,171.05,168.25,169.05,828600,161.57
13-11-2014,170,170.45,167.2,168.5,655000,161.05
14-11-2014,169.4,171.1,168.4,169.95,880400,162.43
17-11-2014,168.35,171.2,167.55,170.8,692400,163.24
18-11-2014,171.85,175.05,171.3,174.35,1173300,166.64
19-11-2014,174.8,175,172.85,174,684100,166.3
20-11-2014,174.65,174.65,172.2,174.4,598200,166.68
21-11-2014,175.45,178.75,174.55,177.95,1854200,170.08
24-11-2014,177.5,180.65,176.7,179.95,1110300,171.99
25-11-2014,179.75,184.35,179.3,183.3,1630900,175.19
26-11-2014,183.95,184.35,181.75,182.65,871300,174.57
27-11-2014,183.15,184.55,181.95,184.45,659000,176.29
28-11-2014,184.9,185.3,183.6,185.2,853000,177.01
01-12-2014,183.85,185.45,183.8,184.7,603000,176.53
02-12-2014,185.7,186.3,183.15,183.8,765500,175.67
03-12-2014,184.15,185.35,182.6,184.5,516300,176.34
04-12-2014,184.75,188.1,182.35,182.55,1117200,174.47
05-12-2014,184.35,188.75,184.35,188.05,929000,179.73
08-12-2014,187.8,188.75,186.25,186.25,517400,178.01
09-12-2014,183.5,186.25,182.85,183.1,886900,175
10-12-2014,183.7,185.1,182.5,182.85,696400,174.76
11-12-2014,182.2,187.35,181.7,186.45,1287600,178.2
12-12-2014,185.5,185.9,181.15,181.65,1017300,173.61
15-12-2014,181.7,182.8,174.2,175.1,1458700,167.35
16-12-2014,175.9,179.1,172.1,178.55,2012100,170.65
17-12-2014,176.45,178.65,175.65,177.95,844300,170.08
18-12-2014,181.05,185.45,180.5,184.55,1494600,176.39
19-12-2014,187,187.75,184.1,185.25,1728100,177.05
22-12-2014,186.8,187.3,184.7,185.95,462100,177.72
23-12-2014,185.8,187.1,185.05,187.1,370200,178.82
24-12-2014,187.1,187.1,187.1,187.1,0,178.82
25-12-2014,187.1,187.1,187.1,187.1,0,178.82
26-12-2014,187.1,187.1,187.1,187.1,0,178.82
29-12-2014,186.4,187.5,183.65,186.6,491300,178.35
30-12-2014,185.3,186.15,184.5,184.65,301300,176.48
31-12-2014,184.65,184.65,184.65,184.65,0,176.48
01-01-2015,184.65,184.65,184.65,184.65,0,176.48
02-01-2015,184.5,185.5,180.6,182.5,641900,174.43
05-01-2015,181.2,181.4,175.5,176.3,1135300,168.5
06-01-2015,177,180.2,174.3,177.4,1030800,169.55
07-01-2015,178.8,180.3,176.85,178.5,692200,170.6
08-01-2015,180.65,184.7,179,183.85,976700,175.72
09-01-2015,183,185,179.7,180.9,998600,172.9
12-01-2015,179.95,182.3,177.8,181.75,1132900,173.71
13-01-2015,182.1,186.5,181,185.8,1154900,177.58
14-01-2015,183.9,186.55,182.45,183.55,995300,175.43
15-01-2015,185.25,187.8,179.7,186.5,1782300,178.25
16-01-2015,186,192,185.25,191.8,1726700,183.32
19-01-2015,192,194.1,191.15,192.65,1054600,184.13
20-01-2015,193.1,194.15,191.8,193.05,889200,184.51
21-01-2015,193,195.6,190.75,194.55,1418100,185.94
22-01-2015,195.2,199.4,193.9,198.1,2053600,189.34
23-01-2015,199.1,205.2,199.1,203.8,2279700,194.78
